,Brands,Title,price,Main_Price,Percent_Price_Reduction_in_%,Ratings,Number_of_Reviewer
0,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
1,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,0.5,4.3,515
2,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
3,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
4,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
5,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
6,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
7,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
8,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
9,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
10,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
11,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
12,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
13,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
14,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
15,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
16,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
17,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
18,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
19,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
20,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
21,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
22,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
23,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
24,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
25,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
26,Tecno,"Tecno Pop 5 Go, 5.",38990,42890,32,4.6,5
27,Samsung,Samsung Galaxy A03,47000,60000,22,4.6,5
28,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
29,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
30,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
31,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
32,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
33,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
34,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
35,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
36,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
37,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
38,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
39,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
40,Imose,Imose Padi+,7500,52022,41,5,5
41,Imose,Imose Waka Is,7500,52022,41,5,5
42,Imose,Imose Sabi II Dual,8500,52022,41,5,5
43,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
44,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
45,Imose,Imose Sabi 1 Dual ,5500,12398,15,4,20
46,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
47,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
48,Samsung,Samsung Galaxy A12,79990,83898,5,4.4,514
49,UMIDIGI,UMIDIGI A9 Pro Inf,54455,109347,50,4.3,515
50,Blackview,Blackview FS-Andro,34445,56453,39,3.7,168
51,Itel,"Itel A33 Plus 5.0""",27130,34000,20,3.9,75
52,UMIDIGI,UMIDIGI A11 Pro Ma,91775,170951,46,4.5,105
53,QUBO,QUBO Big1 - 4500mA,29660,53031,44,3.7,860
54,Tecno,Tecno POVA Neo (LE,71410,95000,25,4.8,20
55,XIAOMI,XIAOMI Redmi 9A 6.,49420,62000,20,4.4,79
56,Oppo,Oppo A83 64GB + 4G,35410,59999,41,4,33
57,Samsung,Samsung Galaxy A03,56000,59999,41,4.4,5
58,Tecno,Tecno Camon 18i (C,87000,100000,13,4.5,31
59,Gionee,"Gionee M12, 6.55-I",76180,88500,14,4.2,251
60,Tecno,Tecno POP 5 Go (BD,37400,40000,7,4,71
61,Samsung,Samsung Galaxy A12,86000,100000,14,4,71
62,UMIDIGI,"UMIDIGI A11 (3GB,6",57325,112771,49,4.2,56
63,Tecno,"Tecno T201, 1.77"" ",5940,112771,49,4.6,5
64,UMIDIGI,UMIDIGI A11 Pro Ma,95900,170951,44,4.4,93
65,XIAOMI,XIAOMI XIAOMI Redm,50710,53657,5,5,5
66,UMIDIGI,UMIDIGI A11S 4GB R,57900,98900,41,4.1,5
67,Tecno,Tecno Spark 7 (PR6,59990,65000,8,4.1,59
68,QUBO,"QUBO X668- 6.53"" H",52625,92390,43,4,121
69,Samsung,Samsung Galaxy A12,79000,92390,43,4.5,266
70,Itel,Itel 2173 Facebook,6480,78011,17,4.3,163
71,UMIDIGI,"UMIDIGI A11 (4GB,1",69900,115000,39,4.3,112
72,Samsung,Samsung Galaxy A12,79000,110000,28,4.3,112
73,Gionee,Gionee S11 Lite 5.,28990,42890,32,4.3,112
74,Samsung,Samsung Galaxy A03,47000,60000,22,4.3,112
75,Tecno,"Tecno Pop 5 Go, 5.",38990,60000,22,4.6,5
76,Gionee,"Gionee M12, 6.55-I",77100,88500,13,4.3,239
77,Tecno,Tecno Spark 7 (KF6,68500,78000,12,4.7,20
78,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,105
79,Infinix,Infinix Smart 5 (X,53100,58000,8,4.1,47
80,UMIDIGI,"UMIDIGI A11 (4GB,1",66895,129882,48,4.1,115
81,Infinix,Infinix SMART 5?X6,51500,53000,3,4.2,101
82,UMIDIGI,UMIDIGI A11 Pro Ma,85900,153839,44,4.3,54
83,Samsung,Samsung Galaxy A12,92490,99902,7,4.4,155
84,Nokia,"Nokia 150 2.4"" Dua",16990,25990,35,4.3,107
85,XIAOMI,XIAOMI Redmi Note ,129700,170000,24,4.7,5
86,UMIDIGI,UMIDIGI Power 5 (4,69900,129882,46,4.1,38
87,Imose,Imose Padi+,7500,129882,46,5,5
88,Gionee,Gionee S10 LITE 4G,30800,52022,41,3.9,16
89,Imose,Imose Waka Is,7500,52022,41,3.9,16
90,Imose,Imose Sabi II Dual,8500,52022,41,3.9,16
91,Bontel,Bontel TV Touch- 3,11900,15200,22,4,248
92,Bontel,Bontel L1-Super Sl,10500,12398,15,4,20
93,Imose,Imose Sabi 1 Dual ,5500,12398,15,4,20
94,Huawei,Huawei GSM SIM Car,12000,20000,40,4,20
95,Bontel,Bontel L2-Slim Met,11000,13700,20,3.9,39
